,text,category,label
197,remove my four am alarm,alarm_remove,alarm_remove
198,cancel my eight am alarm,alarm_remove,alarm_remove
199,delete the meeting alarm at two pm on tuesday,alarm_remove,alarm_remove
200,please remove this alarm,alarm_remove,alarm_remove
201,remove six am alarm of whole week for future,alarm_remove,alarm_remove
202,twelve am removed,alarm_remove,alarm_remove
203,delete my six am alarm,alarm_remove,alarm_remove
204,i need to delete the alarm for church on sundays at eleven am,alarm_remove,alarm_remove
205,cancel my three pm alarm,alarm_remove,alarm_remove
206,please remove the alarm which i set for today morning,alarm_remove,alarm_remove
207,cancel alarm for tomorrow,alarm_remove,alarm_remove
208,remove number three alarm of list,alarm_remove,alarm_remove
209,cancel wake up calls for this week,alarm_remove,alarm_remove
210,please remove the the alarm which i set,alarm_remove,alarm_remove
211,Get rid of my current alarms,alarm_remove,alarm_remove
212,please remove the alarm that is set for weekdays at nine,alarm_remove,alarm_remove
213,disable the alarm at ten am,alarm_remove,alarm_remove
214,remove tuesday alarm of nine am,alarm_remove,alarm_remove
215,get rid of my eight am alarm,alarm_remove,alarm_remove
216,clear my nine am alarms,alarm_remove,alarm_remove
217,remove alarm of six am on tuesday,alarm_remove,alarm_remove
218,turn off all of my alarms,alarm_remove,alarm_remove
219,get rid of my wake up alarm set for saturday,alarm_remove,alarm_remove
220,disable alarm for three pm,alarm_remove,alarm_remove
221,remove set alarm,alarm_remove,alarm_remove
222,remove the alarm set for ten pm,alarm_remove,alarm_remove
223,remove all alarm of sunday,alarm_remove,alarm_remove
224,do not wake me up tomorrow,alarm_remove,alarm_remove
225,please remove the alarm set for wednesday called kickball,alarm_remove,alarm_remove
226,turn off my alarms,alarm_remove,alarm_remove
227,forget alarm,alarm_remove,alarm_remove
228,set off this alarm,alarm_remove,alarm_remove
229,turn off my alarm,alarm_remove,alarm_remove
230,cancel all alarms,alarm_remove,alarm_remove
231,remove all alarms set today,alarm_remove,alarm_remove
232,two am removed,alarm_remove,alarm_remove
233,take away my alarm for tomorrow at four thirty am,alarm_remove,alarm_remove
234,turn off any morning alarms after Friday,alarm_remove,alarm_remove
235,please remove any alarms that i have set,alarm_remove,alarm_remove
236,remove my wake up alarm,alarm_remove,alarm_remove
237,change my alarm,alarm_remove,alarm_remove
238,turn off eight am alarm,alarm_remove,alarm_remove
239,please turn off my alarm for this evening,alarm_remove,alarm_remove
240,turn off the alarm for tomorrow morning,alarm_remove,alarm_remove
241,change the alarm weekly settings,alarm_remove,alarm_remove
242,remove my early alarms,alarm_remove,alarm_remove
243,please remove my alarm,alarm_remove,alarm_remove
244,turn off the six am alarm for Wednesday,alarm_remove,alarm_remove
245,get rid of the five pm alarm,alarm_remove,alarm_remove
246,disable the first alarm,alarm_remove,alarm_remove
247,i would like this alarm permanently removed,alarm_remove,alarm_remove
248,remove all alarms if any,alarm_remove,alarm_remove
249,i no longer need the daily five pm alarm,alarm_remove,alarm_remove
250,remove the alarm set for four hundred am,alarm_remove,alarm_remove
251,stop seven am alarm,alarm_remove,alarm_remove
252,disable my three pm alarm,alarm_remove,alarm_remove
253,remove my bedtime alarm,alarm_remove,alarm_remove
254,turn off all alarms,alarm_remove,alarm_remove
255,remove alarms set for tomorrow,alarm_remove,alarm_remove
256,olly cancel all soccer practice alarms,alarm_remove,alarm_remove
257,remove my eight pm alarm and set it to seven pm,alarm_remove,alarm_remove
258,remove alarm if any,alarm_remove,alarm_remove
259,cancel the alarm that is set for tomorrow at eight am,alarm_remove,alarm_remove
260,delete the first alarm,alarm_remove,alarm_remove
261,remove alarm,alarm_remove,alarm_remove
262,unset all alarm which is set,alarm_remove,alarm_remove
263,remove alarm of seven thirty am on monday,alarm_remove,alarm_remove
264,can you please remove the alarm,alarm_remove,alarm_remove
265,cancel alarm for tenth of march two thousand seventeen,alarm_remove,alarm_remove
266,this alarm needs to be permanently silenced,alarm_remove,alarm_remove
267,remove the alarm for tomorrow,alarm_remove,alarm_remove
268,i dont want any alarms,alarm_remove,alarm_remove
269,delete my eight pm alarm,alarm_remove,alarm_remove
270,remove finlee's bedtime alarm,alarm_remove,alarm_remove
271,reset alarm,alarm_remove,alarm_remove
272,remove the alarm,alarm_remove,alarm_remove
273,will you turn the alarm off for me,alarm_remove,alarm_remove
274,remove my morning alarm,alarm_remove,alarm_remove
275,delete my alarm for eight am,alarm_remove,alarm_remove
276,remove my alarm for tomorrow morning,alarm_remove,alarm_remove
277,remove seven am alarm,alarm_remove,alarm_remove
278,cancel the alarm at four am ten pm,alarm_remove,alarm_remove
279,turn off the alarm,alarm_remove,alarm_remove
280,snooze,alarm_remove,alarm_remove
528,don't talk,audio_volume_mute,audio_volume_mute
529,go silent until three pm,audio_volume_mute,audio_volume_mute
530,please do not talk for thirty minutes,audio_volume_mute,audio_volume_mute
531,Silence speakers,audio_volume_mute,audio_volume_mute
532,please be quiet,audio_volume_mute,audio_volume_mute
533,silently adjust,audio_volume_mute,audio_volume_mute
534,turn off audio,audio_volume_mute,audio_volume_mute
535,turn off sound,audio_volume_mute,audio_volume_mute
536,set to mute,audio_volume_mute,audio_volume_mute
537,keep quiet,audio_volume_mute,audio_volume_mute
538,please stop for a bit,audio_volume_mute,audio_volume_mute
539,Please pause the song,audio_volume_mute,audio_volume_mute
540,off the speakers,audio_volume_mute,audio_volume_mute
541,be silent for thirty minutes,audio_volume_mute,audio_volume_mute
542,can you place the sound on mute,audio_volume_mute,audio_volume_mute
543,stop making sounds for forty minutes,audio_volume_mute,audio_volume_mute
544,can you please stop speaking,audio_volume_mute,audio_volume_mute
545,mute volume,audio_volume_mute,audio_volume_mute
546,please do not answer,audio_volume_mute,audio_volume_mute
547,please be silent until i tell you not to be,audio_volume_mute,audio_volume_mute
548,i want to mute the speaker,audio_volume_mute,audio_volume_mute
549,silent mode,audio_volume_mute,audio_volume_mute
550,mute yourself when i am in a meeting,audio_volume_mute,audio_volume_mute
551,please pause yourself,audio_volume_mute,audio_volume_mute
552,please keep quiet for the next hour,audio_volume_mute,audio_volume_mute
553,mute the living room speakers,audio_volume_mute,audio_volume_mute
554,down the speaker volume at the end of level,audio_volume_mute,audio_volume_mute
555,set the speakers to mute,audio_volume_mute,audio_volume_mute
556,please mute the volume control,audio_volume_mute,audio_volume_mute
557,turn on silent mode until my alarm goes off,audio_volume_mute,audio_volume_mute
558,pause the music,audio_volume_mute,audio_volume_mute
559,silent,audio_volume_mute,audio_volume_mute
560,go silent for a day,audio_volume_mute,audio_volume_mute
561,mute for volume,audio_volume_mute,audio_volume_mute
562,set mute mode for one hour,audio_volume_mute,audio_volume_mute
563,can you mute when i am not home,audio_volume_mute,audio_volume_mute
564,mute please,audio_volume_mute,audio_volume_mute
565,please be quiet for another hour,audio_volume_mute,audio_volume_mute
566,set to silent for five minutes,audio_volume_mute,audio_volume_mute
567,silence please,audio_volume_mute,audio_volume_mute
568,stop playing,audio_volume_mute,audio_volume_mute
569,mute the audio,audio_volume_mute,audio_volume_mute
570,mute the settings,audio_volume_mute,audio_volume_mute
571,mute the volume,audio_volume_mute,audio_volume_mute
572,please quiet the speaker,audio_volume_mute,audio_volume_mute
573,silence for two hours,audio_volume_mute,audio_volume_mute
574,please stop talking,audio_volume_mute,audio_volume_mute
575,mute for two hours,audio_volume_mute,audio_volume_mute
576,activate silent,audio_volume_mute,audio_volume_mute
577,mute for fifteen minutes,audio_volume_mute,audio_volume_mute
578,silence,audio_volume_mute,audio_volume_mute
579,do not speak today,audio_volume_mute,audio_volume_mute
580,turn off the sounds,audio_volume_mute,audio_volume_mute
581,mute the speaker please,audio_volume_mute,audio_volume_mute
582,enter silence mode,audio_volume_mute,audio_volume_mute
583,help me to mute my speaker,audio_volume_mute,audio_volume_mute
584,can you mute my speaker,audio_volume_mute,audio_volume_mute
585,google please be extra quiet the baby is sleeping,audio_volume_mute,audio_volume_mute
586,mute enabled until i say so,audio_volume_mute,audio_volume_mute
587,Shut down the sound,audio_volume_mute,audio_volume_mute
588,please hold for the next hour,audio_volume_mute,audio_volume_mute
589,disable music player,audio_volume_mute,audio_volume_mute
590,mute the sound,audio_volume_mute,audio_volume_mute
591,set the settings to mute,audio_volume_mute,audio_volume_mute
592,quiet mode on until i am home from work,audio_volume_mute,audio_volume_mute
593,turn the vibrate off from speaker,audio_volume_mute,audio_volume_mute
594,please mute the speakers,audio_volume_mute,audio_volume_mute
595,mute sound on speakers please,audio_volume_mute,audio_volume_mute
596,don't speak for an hour,audio_volume_mute,audio_volume_mute
597,set music system to mute,audio_volume_mute,audio_volume_mute
598,stay quiet,audio_volume_mute,audio_volume_mute
599,set volume to zero,audio_volume_mute,audio_volume_mute
600,please mute my speaker,audio_volume_mute,audio_volume_mute
601,speakers off,audio_volume_mute,audio_volume_mute
602,please do not speak,audio_volume_mute,audio_volume_mute
603,quiet on,audio_volume_mute,audio_volume_mute
604,no speaking please,audio_volume_mute,audio_volume_mute
605,i would like to mute the speakers please,audio_volume_mute,audio_volume_mute
606,please mute the sound,audio_volume_mute,audio_volume_mute
607,please shut off,audio_volume_mute,audio_volume_mute
608,from now on mute,audio_volume_mute,audio_volume_mute
609,please unmute yourself,audio_volume_mute,audio_volume_mute
610,mute speakers,audio_volume_mute,audio_volume_mute
611,i dont want sound,audio_volume_mute,audio_volume_mute
612,will you please mute my speakers,audio_volume_mute,audio_volume_mute
613,mute speakers please,audio_volume_mute,audio_volume_mute
614,mute sound,audio_volume_mute,audio_volume_mute
615,quiet,audio_volume_mute,audio_volume_mute
616,sound off,audio_volume_mute,audio_volume_mute
617,silence for certain amount of hours,audio_volume_mute,audio_volume_mute
618,please you don't speak in eight to ten pm,audio_volume_mute,audio_volume_mute
619,mute,audio_volume_mute,audio_volume_mute
620,turn the sound off,audio_volume_mute,audio_volume_mute
621,mute immediately,audio_volume_mute,audio_volume_mute
622,mute all responses now,audio_volume_mute,audio_volume_mute
623,be mute,audio_volume_mute,audio_volume_mute
624,shut up,audio_volume_mute,audio_volume_mute
625,don't make any sounds,audio_volume_mute,audio_volume_mute
626,turn sound off,audio_volume_mute,audio_volume_mute
627,silent mode on for the next three hours,audio_volume_mute,audio_volume_mute
628,cut off noise,audio_volume_mute,audio_volume_mute
629,touch the mute button,audio_volume_mute,audio_volume_mute
630,get yourself muted,audio_volume_mute,audio_volume_mute
631,set mute until said otherwise,audio_volume_mute,audio_volume_mute
632,be quiet,audio_volume_mute,audio_volume_mute
633,mute yourself until five pm,audio_volume_mute,audio_volume_mute
634,don't speak for a while,audio_volume_mute,audio_volume_mute
635,i've got a meeting by tonight seven pm please mute the music for an hour,audio_volume_mute,audio_volume_mute
636,quiet mode four hours,audio_volume_mute,audio_volume_mute
637,turn down the noise,audio_volume_mute,audio_volume_mute
638,please change the volume to mute,audio_volume_mute,audio_volume_mute
639,mute for the next hour please,audio_volume_mute,audio_volume_mute
640,please mute yourself,audio_volume_mute,audio_volume_mute
641,make the volume to zero,audio_volume_mute,audio_volume_mute
642,hey olly mute the speakers,audio_volume_mute,audio_volume_mute
643,mute the speakers,audio_volume_mute,audio_volume_mute
644,goodnight,audio_volume_mute,audio_volume_mute
645,it's quiet time,audio_volume_mute,audio_volume_mute
646,turn off speaker,audio_volume_mute,audio_volume_mute
647,mute yourself until i say otherwise,audio_volume_mute,audio_volume_mute
648,mute audio,audio_volume_mute,audio_volume_mute
649,don't talk until i ask you to,audio_volume_mute,audio_volume_mute
650,please be quiet for the next two hours,audio_volume_mute,audio_volume_mute
651,mute volume now,audio_volume_mute,audio_volume_mute
652,don't respond for fifty seconds,audio_volume_mute,audio_volume_mute
653,turn off the speakers,audio_volume_mute,audio_volume_mute
654,do not talk,audio_volume_mute,audio_volume_mute
655,quiet time,audio_volume_mute,audio_volume_mute
656,mute for one hour,audio_volume_mute,audio_volume_mute
657,please be silent,audio_volume_mute,audio_volume_mute
658,please do not respond,audio_volume_mute,audio_volume_mute
659,volume control,audio_volume_mute,audio_volume_mute
660,can you set radio to mute,audio_volume_mute,audio_volume_mute
661,please mute the television for one hour,audio_volume_mute,audio_volume_mute
662,can you please be muted for a while,audio_volume_mute,audio_volume_mute
663,i'm in a meeting please do not speak,audio_volume_mute,audio_volume_mute
664,turn the volume off,audio_volume_mute,audio_volume_mute
665,sound off please,audio_volume_mute,audio_volume_mute
666,i want you to mute,audio_volume_mute,audio_volume_mute
667,do not make any noise until morning alarm,audio_volume_mute,audio_volume_mute
668,mute for twenty minutes,audio_volume_mute,audio_volume_mute
669,stop the audio,audio_volume_mute,audio_volume_mute
796,how the list of upcoming events,calendar_query,calendar_query
797,do i have a dentist appointment on monday morning,calendar_query,calendar_query
798,do i have a meeting on saturday march twenty fifth,calendar_query,calendar_query
799,is my calendar free for Thursday,calendar_query,calendar_query
800,what important dates are there in my calendar this month,calendar_query,calendar_query
801,tell me about the meetings over a period of time,calendar_query,calendar_query
802,time time is the holiday party at the office,calendar_query,calendar_query
803,today's schedule,calendar_query,calendar_query
804,what have i got going on between three and four pm today,calendar_query,calendar_query
805,hows many more reminders are left,calendar_query,calendar_query
806,is the birthday event on fifteenth of this month true,calendar_query,calendar_query
807,tell me what is on my schedule for today,calendar_query,calendar_query
808,do i have anything planned for the twenty first,calendar_query,calendar_query
809,is my schedule full for tomorrow from eight am to two pm,calendar_query,calendar_query
810,what meetings do i have between eight ten today,calendar_query,calendar_query
811,need information about events before shift ends,calendar_query,calendar_query
812,is there any pending reminder for me,calendar_query,calendar_query
813,when and where is june's birthday party,calendar_query,calendar_query
814,what am i up to this weekend,calendar_query,calendar_query
815,meeting july calendar,calendar_query,calendar_query
816,what day is the meeting on,calendar_query,calendar_query
817,which day this week do i have plans,calendar_query,calendar_query
818,is calendar event true,calendar_query,calendar_query
819,is there any events planned for the next three months,calendar_query,calendar_query
820,tell me what is on my calendar for tomorrow,calendar_query,calendar_query
821,where is the event today,calendar_query,calendar_query
822,list out my meetings today,calendar_query,calendar_query
823,search schedules for this week,calendar_query,calendar_query
824,any upcoming events,calendar_query,calendar_query
825,do i have any off days this week,calendar_query,calendar_query
826,rahul marriage reminder,calendar_query,calendar_query
827,when is the next office meeting,calendar_query,calendar_query
828,is there any event today in my calendar,calendar_query,calendar_query
829,where am i supposed to be by this time tomorrow,calendar_query,calendar_query
830,what events are this week,calendar_query,calendar_query
831,i needed to prepare for a meeting,calendar_query,calendar_query
832,when is my doctor's appointment,calendar_query,calendar_query
833,events happening between eight am and five pm today,calendar_query,calendar_query
834,what is my next reminder,calendar_query,calendar_query
835,how soon is my anniversary,calendar_query,calendar_query
836,what meetings are available in march,calendar_query,calendar_query
837,what is on the agenda for the four pm meeting with joe,calendar_query,calendar_query
838,tell me what is on the schedule for july seventh,calendar_query,calendar_query
839,was my meeting today rescheduled,calendar_query,calendar_query
840,where is tuesday's morning meeting,calendar_query,calendar_query
841,my events,calendar_query,calendar_query
842,what's my next appointment,calendar_query,calendar_query
843,whats going on in my calendar,calendar_query,calendar_query
844,what else is on the list,calendar_query,calendar_query
845,what time does the dinner party start tonight,calendar_query,calendar_query
846,do i have a sales meeting today,calendar_query,calendar_query
847,please tell me when's my financial meeting,calendar_query,calendar_query
848,confirm that my notification is set to remind me when i leave,calendar_query,calendar_query
849,open my calendar,calendar_query,calendar_query
850,when will the match start,calendar_query,calendar_query
851,do i have a meeting today,calendar_query,calendar_query
852,shall we meet for today's party,calendar_query,calendar_query
853,let's go through all pending reminders,calendar_query,calendar_query
854,is it true that susan's birthday is on march first,calendar_query,calendar_query
855,where is my meeting at nine am,calendar_query,calendar_query
856,what events are scheduled this week,calendar_query,calendar_query
857,march one is susan's birthday right,calendar_query,calendar_query
858,what on my calendar,calendar_query,calendar_query
859,is this program is scheduled,calendar_query,calendar_query
860,tell me when the hockey game tickets are for,calendar_query,calendar_query
861,tell me about my upcoming week,calendar_query,calendar_query
862,latest events,calendar_query,calendar_query
863,when is bank holiday,calendar_query,calendar_query
864,what day is this event scheduled for,calendar_query,calendar_query
865,give me the reminders,calendar_query,calendar_query
866,show me my calendar event this Friday afternoon,calendar_query,calendar_query
867,is there a chili cookoff this weekend,calendar_query,calendar_query
868,what events are scheduled for me to do today,calendar_query,calendar_query
869,what are the pending reminder for today evening,calendar_query,calendar_query
870,do i have a doctors appointment today,calendar_query,calendar_query
871,is jimmie's party on friday cancelled,calendar_query,calendar_query
872,what do i have scheduled on july seventh,calendar_query,calendar_query
873,am i busy on Wednesday evening,calendar_query,calendar_query
874,what events do i have scheduled today,calendar_query,calendar_query
875,what is on the agenda for today,calendar_query,calendar_query
876,when the meeting start,calendar_query,calendar_query
877,on my calendar are there any birthdays,calendar_query,calendar_query
878,am i free on sunday day,calendar_query,calendar_query
879,do i have any get togethers this week,calendar_query,calendar_query
880,please tell me the main points of my two hundred meeting from this afternoon,calendar_query,calendar_query
881,can you tell me the next scheduled event,calendar_query,calendar_query
882,anything interesting happening next friday,calendar_query,calendar_query
883,how many calories did i burn between three and five today,calendar_query,calendar_query
884,can you tell me what's on the schedule for tomorrow,calendar_query,calendar_query
885,do i have any thing going on at five,calendar_query,calendar_query
886,what's coming up this week,calendar_query,calendar_query
887,do the knicks have a game at home tonight,calendar_query,calendar_query
888,do i have free time next tuesday to schedule a meeting,calendar_query,calendar_query
889,how many things do i have planned tonight,calendar_query,calendar_query
890,hey please provide information about events by the end of the day,calendar_query,calendar_query
891,let me know about upcoming events,calendar_query,calendar_query
892,do i have anything scheduled in my events,calendar_query,calendar_query
893,please check my reminders,calendar_query,calendar_query
894,what time do i have a doctors appointment on the twenty second,calendar_query,calendar_query
895,what are the upcoming reminders,calendar_query,calendar_query
896,what time am i supposed to pick up john again,calendar_query,calendar_query
897,what time is the evening meeting i have with john,calendar_query,calendar_query
898,show me future events,calendar_query,calendar_query
899,list all the events in my march calendar,calendar_query,calendar_query
900,did you add tomorrow's meeting to my calendar,calendar_query,calendar_query
901,when is the doctor's appointment,calendar_query,calendar_query
902,which is the next event coming up,calendar_query,calendar_query
