,text,label
113,What do I have to do to change my pin?,change_pin
115,My beneficiary didn't receive my transfer,beneficiary_not_allowed
116,Does it cost anything to get a new card? Mine's about to expire and I'd also like to know how long it takes to get the new one.,card_about_to_expire
118,I couldnt get cash in an ATM,declined_cash_withdrawal
119,How to receive the actual card,order_physical_card
123,"I need to set up an account for my daughter, how would I do that?",age_limit
124,I shouldn't be charged any fee for transferring .,transfer_fee_charged
125,My top up has failed,top_up_failed
128,What method do you use for the exchange rate?,exchange_rate
132,"I have a Visa and Mastercard, can I use these?",visa_or_mastercard
133,Why is my transaction taking so long to complete?,transfer_not_received_by_recipient
134,I NEED HELP WITH MY CARD!!!!! please. It keeps getting declined when I try to use it. I have tried a few times to use it and it keeps getting rejected. I have no idea why.,declined_card_payment
137,Why is my card payment pending?,pending_card_payment
138,Can I pay more to get it deliver quicker?,card_delivery_estimate
141,"I'm trying to move money from my account to elsewhere, but it's giving me an error message.",declined_transfer
142,I really need to top-up my card today urgently but my card keeps getting declined!! Can you please resolve this problem or try an alternative,top_up_failed
143,My top up is still pending,pending_top_up
144,"i have tried everything to complete a transfer but can't, what should i do next",declined_transfer
145,Is it possible for me to change my PIN number?,change_pin
146,My card is about to expire. What do I need to do to keep using my card?,card_about_to_expire
147,What is the cost for physical cards?,order_physical_card
149,Should my top-up be completed by now?,pending_top_up
150,my payment was rejected,declined_card_payment
152,Please send me a disposable virtual card.,get_disposable_virtual_card
154,Why wouldn't the ATM give me cash?,declined_cash_withdrawal
155,Why is there a fee for my transfer?,transfer_fee_charged
156,Are cards from the US accepted?,supported_cards_and_currencies
158,What is the verification code for my top up card?,verify_top_up
159,Can you tell me why my transfer declined?,declined_transfer
164,Can I get a Visa instead of a MasterCard?,visa_or_mastercard
165,My money I added isn't on my card.,top_up_failed
166,I think there has been a mistake with my transfer,declined_transfer
167,What is the maximum transactions for one disposable card?,disposable_card_limits
169,"Transfer was declined, could not complete request.",declined_transfer
170,Does the PIN come under separate cover?,get_physical_card
172,I made a payment and it appears it is showing twice,transaction_charged_twice
174,I did a transfer.  What is the extra fee?,transfer_fee_charged
175,How many disposable  cards are available per account?,disposable_card_limits
176,Can you tell me how to change my PIN?,change_pin
178,Help! I've forgot my app passcode!,passcode_forgotten
179,How do I unblock my card?,pin_blocked
180,"Card payment was declined, do you know why?",declined_card_payment
182,Why was money taken for a transfer?,transfer_fee_charged
183,Are there any disposable virtual cards?,get_disposable_virtual_card
184,How long before a check I send clears?,top_up_by_cash_or_cheque
185,"The transfer keeps failing , I tried to transfer some money to friends this morning but it keeps getting rejected for some reason, Would you please check the issue?",failed_transfer
190,"I have made 5 attempts to make a very standard survey, yet I can't get it to work. What is the problem? Is there an issue related to your system?",failed_transfer
193,If I need to top up with cash where should I look?,top_up_by_cash_or_cheque
196,"I want to give a second card for this account to my daughter, would this be possible?",getting_spare_card
197,Why am I getting declines when trying to make a purchase online?,declined_transfer
198,At what cash machines can I change my PIN?,change_pin
202,Are cards delivered to my location?,order_physical_card
208,"If my salary is in GBP, do I need to do something?",receiving_money
210,I need to reset my passcode. Where do I go to do that?,passcode_forgotten
211,"If I need an additional card, is there a fee for that?",getting_spare_card
212,I tried to do a transfer and it's saying it declined.,declined_transfer
213,How long should it take for my top-up to finish? I've been waiting a while.,pending_top_up
215,How much does it cost to get more cards?,getting_spare_card
216,I can't use my card for anything,card_not_working
217,How will I get my card?,card_delivery_estimate
218,What is the delivery time to the US?,card_delivery_estimate
219,Are there still fees for european top-ups?,top_up_by_card_charge
221,Will you charge for a physical card?,order_physical_card
223,From which age can my kids use your service?,age_limit
225,Trouble with my top up,top_up_failed
226,My disposable virtual card got rejected,virtual_card_not_working
231,This transaction needs both a Visa and a Mastercard.,visa_or_mastercard
232,I can't remember what my password is,passcode_forgotten
233,Why does top-up require verification?,verify_top_up
235,Why won't my virtual card work?,virtual_card_not_working
240,How come my transfer got declined,declined_transfer
241,What is this extra fee while I was doing a transfer?,transfer_fee_charged
242,How do I find the PIN?,get_physical_card
246,What is the most amount of disposable cards allowable?,disposable_card_limits
250,"On the card that is coming, what's the tracking info?",card_arrival
252,Hello. I'm trying to transfer some money to a friend but it keeps getting rejected. can you help me?,failed_transfer
254,I just got my new card and tried using it and it was declined?,declined_card_payment
257,I topped up about half an hour ago and the charge is still pending. I'm a new customer and today is my first time doing this. Can you fix it? It doesn't seem to be working.,pending_top_up
259,where can i deposit a check,top_up_by_cash_or_cheque
260,Why would my payment have been returned to my account?,reverted_card_payment?
263,What are Interbanks current exchange rates?,exchange_rate
264,"I just took some cash out of a cash machine in Heathrow airport because I wanted to buy some new sunglasses for my holiday but you've added a fee to the withdrawal, what is this?",cash_withdrawal_charge
265,How do I get to the virtual cards?,getting_virtual_card
266,One of my payments was doubled,transaction_charged_twice
268,Why can't the recepient of my money transaction see it?,transfer_not_received_by_recipient
269,Is it possible for me to set up separate accounts for my kids?,age_limit
270,"Since I got married, I need to change my name.",edit_personal_details
271,"
How do I unblock my PIN?",pin_blocked
272,My card is showing multiple charges for the same items on my recent statement. I was wondering what actions of needed to take to fix this issue,transaction_charged_twice
273,When will I receive the card?,card_delivery_estimate
274,"I need to verify a payment to my new landlord. I transferred the first rent payment a few days ago. While it shows on my side, the landlord is saying he hasn't received it yet. Can you verify that it has processed?",transfer_not_received_by_recipient
275,I tried to make a transfer like five different times. Why won't your system let me? Is it broke?,failed_transfer
277,I am very upset that i went to use my new card today and it kept getting declined. Why is this happening and what do I do to not have it declined?,declined_card_payment
279,Why was I charged an additional $1?,extra_charge_on_statement
281,Do you have the best exchange rate?,exchange_rate
283,Can I use a check to get gas?,top_up_by_cash_or_cheque
285,Why was I charged a fee when making this transfer when I shouldn't have been?,transfer_fee_charged
286,I'd like like to know where I can order a virtual card?,getting_virtual_card
287,What could the reason be that my payment card was declined?,declined_card_payment
288,Is a new debit card free?,getting_spare_card
289,The app won't let me transfer money to a beneficiary,beneficiary_not_allowed
290,There has been a charge pending on my account statement that I can't figue out it's for a dollar.,extra_charge_on_statement
291,I thought transfers were free of charge.  I bought something abroad and got charged a ridiculous fee. How do I get this problem fixed.,transfer_fee_charged
293,Why was there a fee with my cash withdrawal?,cash_withdrawal_charge
294,Why was my withdrawal declined,declined_cash_withdrawal
295,I was overcharged a pound.,extra_charge_on_statement
296,Do I get a real card?,order_physical_card
300,"I've been waiting since Friday, where is my money?",transfer_not_received_by_recipient
301,How can I reset my passcode?,passcode_forgotten
302,WHAT IS THE MAIN REASON OF THIS PROBLEM,card_not_working
303,"I sent money to someone but they haven't gotten it, what's going on?",transfer_not_received_by_recipient
304,"I got double charged from something, what can I do?",transaction_charged_twice
305,There is something wrong with my card. Tried to use it a few times today in different places and it just didn't work. The transactions I tried to make were really small so not sure what's going on,card_not_working
307,Please explain why my top-up hasn't been processed yet?,pending_top_up
311,When will I get my new card?,card_arrival
312,I would like a physical card,order_physical_card
313,Unsure how to provide my identity.,unable_to_verify_identity
316,I tried to deposit a cheque into my account and it is not letting me.,top_up_by_cash_or_cheque
317,How do i find my top-up card's verification code?,verify_top_up
318,Can I change my PIN at my local bank?,change_pin
319,There is a top up that has been pending for an hour and I don't know why.  I was expecting it immediately and need it now!,pending_top_up
325,I've been waiting ages and my PIN hasn't gotten here.,get_physical_card
326,Can I choose whether I receive a Visa or a Mastercard card?,visa_or_mastercard
327,"Why are you charging for cash withdrawals? I went to withdraw some money earlier today after getting my groceries, and it appears there is a fee that wasn't there before",cash_withdrawal_charge
328,let me know how many disposable cards I can have?,disposable_card_limits
330,I want to make an online purchase but I don't want to use my credit card. Can you tell me how a disposable virtual card works and where I can apply for one?,get_disposable_virtual_card
331,How do I use American express to top up my account?,supported_cards_and_currencies
333,"I tried to withdraw cash and got declined, why is that?",declined_cash_withdrawal
334,I would like to change my address.,edit_personal_details
337,Hi i received an error message informing me about the transaction failure. I have done the money transfer before and it never failed. Please let me know what is the issue this time.,beneficiary_not_allowed
338,"I just checked my statement and saw a $1 charge, why is it there?",extra_charge_on_statement
341,Is there a way to track my card?,card_arrival
342,I need two cards. Is this possible?,getting_spare_card
344,I tried transferring to an account but it didn't go through. What happened?,beneficiary_not_allowed
346,can i get a physical card online,order_physical_card
347,I'm suddenly getting an error while attempting a transfer that it isn't possible. Why? I've done it before.,beneficiary_not_allowed
348,There is an odd 1£ charge that appears as pending on my statement. What's the reason for that? I haven't purchased anything for a pound.,extra_charge_on_statement
350,What are the charges for topping up US card?,top_up_by_card_charge
351,I transferred some money to my mom 2 days ago and she has not received it. I double checked the information and it looks right. Can you help me?,transfer_not_received_by_recipient
353,I can't see a top-up top-up verification code.,verify_top_up
354,I attempted to top up my account but it's been frozen in a pending state for well over an hour now! Is this normal? I'm a new customer and this is my first time doing this. I assumed it would be done quicker than this.,pending_top_up
355,What are these disposable cards meant for?,get_disposable_virtual_card
358,what is source of my money,verify_source_of_funds
361,"I received a ""declined"" message when doing a transfer",declined_transfer
363,"My card has an expiration date, will you send a new one automatically?",card_about_to_expire
364,"I need to know this, where do my funds come from?",verify_source_of_funds
365,Is topping up with cash allowed?,top_up_by_cash_or_cheque
367,Why was I charged extra when transferring?,transfer_fee_charged
368,I need to update my phone number.,edit_personal_details
369,Do you know why my card payment has been declined?,declined_card_payment
370,I need a disposable virtual card. Please tell me how to order one.,get_disposable_virtual_card
373,My credit card seems to have been declined for top up. Why is it not going through? Can you tell me what's going on?,top_up_failed
376,How soon will I get my card?,card_delivery_estimate
378,Why couldn't I transfer to a beneficiairy?,beneficiary_not_allowed
381,"I haven't received my virtual card yet, do yo know why?",getting_virtual_card
382,"Hello, I trying to top up with my card today but it didn't work. When I tried last time it worked but today it isn't. Could you take a look at it for me?",top_up_failed
384,Can you give me info about what to do when my card expires?,card_about_to_expire
385,I want a physical card,order_physical_card
386,I am unable to prove my identity,unable_to_verify_identity
388,How do I verify the top-up?,verify_top_up
389,I entered the pin incorrectly too many times and now it is blocked. Can you help?,pin_blocked
390,Why do I have duplicate transactions for one purchase?,transaction_charged_twice
392,"My card keeps getting declined when I try to use it.  I would like to top-up, but it is not going though.",top_up_failed
394,Why can't the person I sent the money transfer to see it?,transfer_not_received_by_recipient
396,"My transfer failed, why?",failed_transfer
398,I haven't received money from a transfer?,transfer_not_received_by_recipient
401,"I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.",card_linking
402,Can I transfer money using a different currency?,receiving_money
403,"Why do you keep declining my transfers? It's been working well so far, but when I just tried to buy something, the card got declined. I tried it a few times, but same thing happened every try.",declined_transfer
404,How long will it take to have my card mailed to me?,card_delivery_estimate
405,"I just got a card, how can I add it to the app?",card_linking
406,"I got my card now, how do I make it show up in the app?",card_linking
409,I received my salary in the wrong currency. How do I change this?,receiving_money
414,why wouldnt the atm give me money,declined_cash_withdrawal
415,I can't find the PIN.,get_physical_card
417,Why does my statement have an extra fee?,extra_charge_on_statement
419,I need to report a stolen card,lost_or_stolen_card
420,"I sent some money to somebody a couple of hours ago, and they still have yet to receive it.  They really need the money, how much longer are they going to have to wait?",transfer_not_received_by_recipient
421,I would like a Visa card.,visa_or_mastercard
423,I got a message that my transfer was declined.,declined_transfer
425,"I need an actual card that I can hold in my hand, how do I do that?",order_physical_card
426,Why are my transfers not going through.  I have tried over 4 times to get it to work.  This is just a simple transfer.  Is something else causing this in the system?  Is it broken?,failed_transfer
430,I think my card payment was cancelled. What happened?,reverted_card_payment?
431,My card is about to expire.  How do I get a new card?,card_about_to_expire
432,When will it be delivered to the US?,card_delivery_estimate
437,Do i have to wait to get the pin or can i set up a pin,get_physical_card
438,What happens if a merchant doesn't accept  you payment?,reverted_card_payment?
439,I was issued a card about a week ago. why hasn't it come in yet?,card_arrival
440,I could not transfer to a beneficiary,beneficiary_not_allowed
442,What are your exchange rates calculated from?,exchange_rate
443,I have have multiple charges for one transaction.,transaction_charged_twice
444,Where can I find top up by cash deposit?,top_up_by_cash_or_cheque
445,Why couldn't I make a withdrawal from the ATM?,declined_cash_withdrawal
446,Is there a way to see my money's source?,verify_source_of_funds
447,I could not transfer funds to a beneficiary; is there a problem with your software?,beneficiary_not_allowed
448,"I have used all my PIN tries, what now?",pin_blocked
451,Which currencies can I use to add money?,supported_cards_and_currencies
455,Are there any express fees if i want my new card faster?,card_about_to_expire
459,How much does it cost for a physical card?,order_physical_card
461,Hi - I have made a transaction to my new landlord but unfortunately it shows on my end but not on the landlord's end. The numbers are correct. Can you confirm when that will go through?,transfer_not_received_by_recipient
464,Would I be able to get an account for my child?,age_limit
465,I've made more than one attempt to make a purchase and the card keeps getting declined. Why do you keep denying my transfers?,declined_transfer
467,Is there any way for you to find my card?,lost_or_stolen_card
469,Has my account been frozen?  I tried to use my card but the ATM would not dispense cash.,declined_cash_withdrawal
470,"My payment was put back, I think.",reverted_card_payment?
471,How do I order a replacement for stolen card?,compromised_card
475,Is it possible to get both Mastercard and Visa card from you?,visa_or_mastercard
476,"I just checked and my payment was cancelled, why?",reverted_card_payment?
477,Help me verify my identify?,unable_to_verify_identity
478,"Can you point me in the right direction of where to go to roder a disposable virtual card, I can't seem to find it.",get_disposable_virtual_card
480,How can I reset the passcode if I need to do that?,passcode_forgotten
481,what is the amount of disposable cards I can have?,disposable_card_limits
483,Is a physical charge extra,order_physical_card
484,What do I do if my card is stolen?,lost_or_stolen_card
485,"When I attempted to make a transfer, it failed.",failed_transfer
486,do i need to wait to get my card before getting a pin,get_physical_card
487,How can I top up my card with another card?,supported_cards_and_currencies
488,Currently my card is broken.,card_not_working
489,can i add funds  with a card from the united states,supported_cards_and_currencies
491,Will you charge me more if I top up with an international card?,top_up_by_card_charge
492,"My card is expiring, how do I get a new one?",card_about_to_expire
495,Why is my card payment still a pending transaction?,pending_card_payment
500,How many times can I use a virtual card?,disposable_card_limits
501,Where do I go to update details?,edit_personal_details
502,"If I get another card, what kind of fees am I looking at?",getting_spare_card
503,I need my card immediately.,card_delivery_estimate
505,My card payment didn't go through.,declined_card_payment
508,Is it acceptable to use either Visa or Mastercard?,visa_or_mastercard
510,I received a transfer in GBP how do I change it to a different currency?,receiving_money
511,how do i get into my account and edit my details,edit_personal_details
513,What are the exchange rates?,exchange_rate
514,Was my transaction reverted with my card?,reverted_card_payment?
515,Can I use a check to top up?,top_up_by_cash_or_cheque
517,Why has my card been declined?  whats the deal?,declined_card_payment
524,Where can I update my pin number?,change_pin
525,I am unable to access my app due to forgetting my passcode.,passcode_forgotten
527,"I just recently got a new beach condo in Bora Bora, and to furnish it I used this account a lot from overseas. It's upsetting, being a long-time customer of yours, that I saw extra fees on my account from my currency transfer. Is this what I should expect from you in the future?",transfer_fee_charged
528,Please explain to me the process of getting a virtual card.,getting_virtual_card
530,Can you send me a new card and block my current one. I'm in Spain and my wallet was stolen.,lost_or_stolen_card
531,Where can I find the top up verification code?,verify_top_up
533,Do I have a Visa card as an option?,visa_or_mastercard
534,Top up did not work on the app.,top_up_failed
535,Is American Express accepted?,supported_cards_and_currencies
536,How do I create a disposable virtual card?,get_disposable_virtual_card
538,How are the exchange rates determined?,exchange_rate
541,Can cash be used in physical locations to top up?,top_up_by_cash_or_cheque
543,There's a possibility that my card was compromised.,compromised_card
544,Why did I get charged one pound seemingly randomly?,extra_charge_on_statement
545,"I'm not sure what to do about the PIN, because I don't have one yet.",get_physical_card
548,"I received my new card and tried using it today, just to have it show declined over and over again.  Why is this happening?",declined_card_payment
549,Can you send me more cards for my account?,getting_spare_card
550,I would like to get a few more physical cards.,getting_spare_card
555,Can I wait for you to send me a new card when mine's about to expire?,card_about_to_expire
557,The virtual card won't work.,virtual_card_not_working
558,Why doesn't it work when I use American Express to try to add money to my account?,supported_cards_and_currencies
560,My card is due to expire soon.,card_about_to_expire
563,What do I have to do to get my PIN unblocked?,pin_blocked
564,Can I change my PIN at a nearby ATM when in Spain? I think someone saw my PIN and I need to change it but am on vacation.,change_pin
565,How will I know my pin number?,get_physical_card
566,are there age requirements,age_limit
567,Why have I been charged more than once for the same transaction?,transaction_charged_twice
568,Why is my transfer taking so long. I thought it was supposed to only take 1 day if I made a transfer to someone. Can you wee what went wrong?,transfer_not_received_by_recipient
570,Are there any charges for European bank card for top up?,top_up_by_card_charge
572,Where do I find how to top off with a check?,top_up_by_cash_or_cheque
574,I can't figure out how to unblock my pin number. Can you help me?,pin_blocked
577,I have been waiting for my card payment to be moved from pending status for an unusually long time.  What is going on here and do you have an idea of when I can expect it to go through?,pending_card_payment
578,I was expecting my new card by now.,card_arrival
579,What do I need to do to link my new card for my account?,card_linking
580,2 weeks ago I ordered my new card.  It isn't here.  What should I do?,card_arrival
581,I need mastercard as well as visa,visa_or_mastercard
584,A receiver let me know that they didn't receive the full transfer I completed and that it was actually a bit less than what I sent. At this point I have to make another transfer to make up for the amount missing. Can you please follow up with what's going  on here?,transfer_fee_charged
585,What is the appropriate age for my child to be able to open an account?,age_limit
586,Is there a reason why top-up needs verifying?,verify_top_up
588,Next time maybe let people know that buying things from another country costs extra. I used my card to purchase an item from another country and I was charged for the item and also an extra fee it looks like. I wasnt aware of this and I think I should get a refund.,transfer_fee_charged
589,"I need multiple cards per day, and they all have to be disposable.",disposable_card_limits
592,There is an extra 1£ charge on my app. Why did you charge me extra?,extra_charge_on_statement
596,Am I able to add money into my account using my American Express?,supported_cards_and_currencies
598,Is there a reason that my top-up is still pending?,pending_top_up
599,I requested for a top-up but it has not reflected,top_up_failed
600,I can't upload my identification.,unable_to_verify_identity
603,Can my salary be received and transferred to my current currency in my country?,receiving_money
604,Please tell me how to edit my personal details.,edit_personal_details
609,Why does my statement show various transaction times?,transaction_charged_twice
610,"I need my PIN, where is it?",get_physical_card
611,"My card payment is just showing up as pending since forever, what's going on with that, it should be going through at some point?",pending_card_payment
613,Help me unblock my PIN.,pin_blocked
614,How do I link a new card in the app?,card_linking
615,I forgot my code,passcode_forgotten
616,What do I do if I detect fraudulent use on my car?,compromised_card
617,Where do i verify a top-up card?,verify_top_up
618,Are there ways for other people to send me money?,receiving_money
621,My card won't let me withdraw money.,declined_cash_withdrawal
623,I noticed my card was used in a small town that I have never been to. Can you stop the card from being used more?,compromised_card
629,"new customer and filling gas for the first time today, not working,",pending_top_up
630,Do the disposable cards have restrictions?,disposable_card_limits
632,How can I prove the source of my funds?,verify_source_of_funds
633,Please tell me how to verify my top up card.,verify_top_up
636,I have no idea why there is a dollar that has been charged to my account.,extra_charge_on_statement
638,Why do I need to verify my funds?,verify_source_of_funds
639,How are your exchange rates calculated?,exchange_rate
642,Where are your cards delivered to?,order_physical_card
643,"I just transferred my friend money, but she hasn't received it yet, and it's been a few hours. Can you tell me when to expect it to go through?",transfer_not_received_by_recipient
644,How many times can I enter a wrong PIN before it is blocked?,pin_blocked
645,"My card has been stolen. I reported it with the police, but I need to report it with you as well.",lost_or_stolen_card
646,"I have a US credit card, will you accept it?",supported_cards_and_currencies
647,Where can I order a card?,order_physical_card
650,I received a message from a seller stating they hadn't received my money even though it definitely came out of my account. The money has now been deposited back into my account. Please get this resolved as soon as possible.,reverted_card_payment?
651,"I made a transfer and according to the receiver ""they haven't received the right amount"" Its lesser than it should be.Now I have to transfer more money to make up for the missing amount . Can you please help me about this,what should be done",transfer_fee_charged
652,Help Me!  I lost my card.  What should I do?,lost_or_stolen_card
653,Can I choose between Mastercard and Visa?,visa_or_mastercard
656,why hasn't a transaction to a friend cleared yet?,transfer_not_received_by_recipient
657,What's a verification code?,verify_top_up
658,"How long is a top up supposed to be pending, because an hour is too long! Can you fix this to go through?",pending_top_up
659,I will need a new card because mine is almost expired.  How fast do I get a replacement and what is the cost?,card_about_to_expire
660,should i contact customer support if i can't edit details,edit_personal_details
661,Is it possible to get a Visa and Mastercard from you?,visa_or_mastercard
662,My money is back in my account after a seller contacted me stating they never received payment. I am positive it was deducted out of my account. Please get this sorted out right away.,reverted_card_payment?
664,I don't think that my top-up worked.,top_up_failed
665,How many active cards can I have?,getting_spare_card
666,"If I want to be able to give my daughter a card for my account, would I be allowed to get one for her?",getting_spare_card
668,"I usually don't get charged for transfers, why was I this month?",transfer_fee_charged
672,When will I get my card shipped to me?,card_delivery_estimate
675,No Visa please. I want to continue with Mastercard.,visa_or_mastercard
679,Why was I charged an extra pound?,extra_charge_on_statement
680,I lost my card n need a new one.,lost_or_stolen_card
681,"I have one of your cards, but I don't know how to link it.",card_linking
686,What is the process to link the new card?,card_linking
687,There is unusual activity on my account and I believe someone took my card.,compromised_card
689,What happens when my card expires?,card_about_to_expire
690,"how long does it take to transfer money, my retailer is waiting",transfer_not_received_by_recipient
692,Do I have a say when it's delivered?,card_delivery_estimate
693,Why do I have a transaction showing up more than once?,transaction_charged_twice
694,Seems like my top-up has not gone through,pending_top_up
699,Shouldn't my new card be here by now?,card_arrival
700,"lost card found, want to put it back in app",card_linking
701,My identity can't be verified.,unable_to_verify_identity
703,What does top-up verification do?,verify_top_up
706,My payment has been cancelled,reverted_card_payment?
707,Is there a location where I can change my PIN?,change_pin
709,I don't recognize some transactions.  Is someone else using it?,compromised_card
711,Where does the exchange rate stand right now?,exchange_rate
713,Can someone assist me with explaining how I can unblock my pin?,pin_blocked
716,Please check and let me know why my transfers are getting declined.,declined_transfer
717,My card was refused,declined_card_payment
720,I have a disposable virtual card. Is there a limit to how many times I can use it?,disposable_card_limits
722,Why haven't I gotten a virtual card yet?,getting_virtual_card
723,I  see an extra 1£ charge on my app. Why did It charge me extra?,extra_charge_on_statement
724,How do I replace a stolen card?,lost_or_stolen_card
726,What do I do if someone used my card without my permission?,compromised_card
728,"I have enough money in my account, so why is my card being declined?",declined_card_payment
731,My card has been lost / stolen,lost_or_stolen_card
732,I topped up but it isn't in my account,pending_top_up
733,"i need help, i lost my card",lost_or_stolen_card
736,"I got a transfer fail message, but no explanation of why-- what happened?",failed_transfer
737,My card hasn't came in the mail yet?,card_arrival
738,Why is my purchase showing as pending?,pending_card_payment
741,Where do I get a virtual card?,getting_virtual_card
742,can you tell me where to find the top-up verification code?,verify_top_up
746,What is the estimated date for delivery to US?,card_delivery_estimate
747,What happens if my card payment is cancelled?,reverted_card_payment?
749,I am having trouble verifying my id.,unable_to_verify_identity
750,What do I need to do to get a card?,order_physical_card
751,need my details changed,edit_personal_details
752,How come I got to pay to get my money from the ATM?,cash_withdrawal_charge
755,I can't get any money from my account.,declined_cash_withdrawal
756,Do you know how to change my card PIN?,change_pin
757,Help me unblock my account.  I entered the PIN wrong too many times.,pin_blocked
758,What do I need to know about topping up?,top_up_by_card_charge
762,Can you please explain disposable virtual cards for me?,get_disposable_virtual_card
763,I am just waiting on the completion of the transaction.,transfer_not_received_by_recipient
764,A duplicated payment was made for something.,transaction_charged_twice
765,What is the age limit?,age_limit
767,"I think there may be something wrong with my card. I have never had issues with withdraws before, but this morning on the way to work it was suddenly declined.",declined_cash_withdrawal
768,"I have tried to submit a transfer a couple of times now, and for some reason, it continues to be unsuccessful. Do you know why this may be?",beneficiary_not_allowed
769,Could you tell me what your exchange rates are?,exchange_rate
771,Where can I find the exchange rate for my transfer?,exchange_rate
772,Can you tell me my code to get into the app?,passcode_forgotten
774,What do I do if I already had a card with you guys?,card_linking
776,I've forgotten my passcode. Can I reset?,passcode_forgotten
778,What to do if my card is about to expire?,card_about_to_expire
780,What do I do if my card expires soon?,card_about_to_expire
783,My top up card needs verification and I don't know how to do it,verify_top_up
785,i need to trace a deposit,verify_source_of_funds
787,"When I went to get cash, it was declined!",declined_cash_withdrawal
790,Will I get Visa or MasterCard?,visa_or_mastercard
793,Hold old do my kids have to be to use the service?,age_limit
795,Is there a limit on the number of times I can use a disposable card?,disposable_card_limits
797,How do I add a card on to the app?,card_linking
798,How long will it take for my payment to go through?,pending_card_payment
799,With what currencies can I add money?,supported_cards_and_currencies
800,Why does a top- up need to be verify?,verify_top_up
801,Why would you cancel my transfer?,declined_transfer
802,"I am interested in giving a second card to my daughter, how can I make this happen?",getting_spare_card
803,My PIN was entered wrong and now I am blocked.  Please unblock.,pin_blocked
